time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-11-29T03:44:23.430Z,38.8308334,-122.8521652,2.09,1.62,md,16,80,0.00493,0.05,nc,nc72730590,2016-11-29T04:00:03.379Z,"10km NW of The Geysers, California",earthquake,0.27,0.47,0.09,7,automatic,nc,nc
2016-11-29T03:43:28.000Z,19.0428,-66.5059,35,3.5,Md,22,237.6,0.56324368,0.36,pr,pr16334001,2016-11-29T04:24:31.329Z,"64km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,1.4,5.9,0,18,reviewed,pr,pr
2016-11-29T03:38:52.202Z,59.6953,-153.0821,104.5,1.6,ml,,,,0.38,ak,ak14481586,2016-11-29T07:33:51.677Z,"70km W of Anchor Point, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2016-11-29T03:36:12.620Z,33.2925,-116.315,2.15,1.17,ml,40,88,0.08894,0.22,ci,ci37752360,2016-11-29T03:47:21.530Z,"7km NE of Borrego Springs, CA",earthquake,0.3,0.58,0.181,26,automatic,ci,ci
2016-11-29T03:26:11.280Z,32.5858333,-115.6785,7.58,1.54,ml,10,205,0.07511,0.12,ci,ci37752352,2016-11-29T03:29:54.483Z,"9km W of Progreso, B.C., MX",earthquake,0.83,0.61,0.214,13,automatic,ci,ci
2016-11-29T03:03:42.230Z,37.6653328,-118.8358307,1.97,1.31,md,13,105,0.02117,0.06,nc,nc72730580,2016-11-29T03:16:02.249Z,"12km E of Mammoth Lakes, California",earthquake,0.43,1.07,0.12,13,automatic,nc,nc
2016-11-29T02:58:20.700Z,19.6478,-64.2454,24,3.3,Md,6,331.2,1.39957521,0.33,pr,pr16334002,2016-11-29T04:41:37.476Z,"141km NNE of Road Town, British Virgin Islands",earthquake,4.5,28.3,0,4,reviewed,pr,pr
2016-11-29T02:39:16.000Z,32.8023333,-116.135,9.19,1.12,ml,17,85,0.03353,0.25,ci,ci37752336,2016-11-29T02:42:51.889Z,"15km WNW of Ocotillo, CA",earthquake,0.61,1.04,0.125,13,automatic,ci,ci
2016-11-29T02:38:40.180Z,32.9316667,-115.5221667,5.75,1.47,ml,12,126,0.04425,0.22,ci,ci37752328,2016-11-29T02:42:19.808Z,"5km S of Brawley, CA",earthquake,0.7,0.81,0.254,18,automatic,ci,ci
2016-11-29T02:27:37.485Z,63.0707,-150.3272,84.2,2.1,ml,,,,0.61,ak,ak14480451,2016-11-29T02:51:37.222Z,"77km WSW of Cantwell, Alaska",earthquake,,0.8,,,automatic,ak,ak
2016-11-29T02:04:24.574Z,58.9173,-153.2628,80.6,1.9,ml,,,,0.51,ak,ak14480448,2016-11-29T02:14:30.174Z,"125km SW of Anchor Point, Alaska",earthquake,,1,,,automatic,ak,ak
2016-11-29T02:03:50.830Z,36.417,-98.1284,10.18,2.6,mb_lg,,45,0.146,0.38,us,us10007d1j,2016-11-29T02:28:01.040Z,"19km SE of Helena, Oklahoma",earthquake,1.2,6.9,0.193,7,reviewed,us,us
2016-11-29T01:45:43.392Z,63.1662,-150.756,126.5,1.8,ml,,,,0.34,ak,ak14480446,2016-11-29T01:53:48.703Z,"94km WSW of Cantwell, Alaska",earthquake,,1.9,,,automatic,ak,ak
2016-11-29T01:43:23.010Z,36.8634987,-121.5954971,5.16,2.41,md,27,58,0.02111,0.09,nc,nc72730570,2016-11-29T02:04:04.066Z,"5km ESE of Aromas, California",earthquake,0.27,0.35,0.13,26,automatic,nc,nc
2016-11-29T01:40:46.500Z,18.4664,-65.787,110,2.9,Md,6,255.6,0.20391757,0.1,pr,pr16334000,2016-11-29T03:10:26.039Z,"6km NE of Vieques, Puerto Rico",earthquake,3.2,1,0,6,reviewed,pr,pr
2016-11-29T01:32:02.340Z,37.4103,-97.3873,9.9,2.5,mb_lg,,105,0.224,0.44,us,us10007d18,2016-11-29T01:42:59.040Z,"9km W of Belle Plaine, Kansas",earthquake,1.2,5.6,0.208,6,reviewed,us,us
2016-11-29T00:53:32.245Z,61.5497,-151.2385,0,2.4,ml,,,,0.78,ak,ak14480432,2016-11-29T01:09:40.896Z,"67km WSW of Willow, Alaska",earthquake,,0.3,,,automatic,ak,ak
2016-11-29T00:41:44.478Z,61.7497,-148.2199,11.3,1.3,ml,,,,0.59,ak,ak14480429,2016-11-29T00:51:53.391Z,"33km E of Sutton-Alpine, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-11-29T00:40:25.508Z,63.2082,-149.3333,1,1.6,ml,,,,0.57,ak,ak14480427,2016-11-29T00:51:53.148Z,"28km SW of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2016-11-29T00:26:24.050Z,39.8502,143.2402,20.15,4.5,mwr,,134,1.909,0.65,us,us10007d0r,2016-11-29T01:14:13.040Z,"112km ENE of Miyako, Japan",earthquake,6.4,5.4,0.08,15,reviewed,us,us
2016-11-29T00:26:21.400Z,17.2466,145.4657,358.17,4.6,mb,,119,2.018,0.84,us,us10007d0s,2016-11-29T01:04:58.040Z,"100km NNW of Anatahan, Northern Mariana Islands",earthquake,14,9.1,0.066,69,reviewed,us,us
2016-11-29T00:19:28.860Z,34.8451,23.2475,10,4.5,mb,,185,1.417,1.11,us,us10007d0q,2016-11-29T00:43:16.040Z,"58km SW of Palaiochora, Greece",earthquake,7.6,1.9,0.077,50,reviewed,us,us
2016-11-28T23:59:37.620Z,22.1786,121.3456,21.82,4.3,mb,,110,0.681,0.92,us,us10007d0p,2016-11-29T00:30:32.040Z,"65km ENE of Hengchun, Taiwan",earthquake,3.8,7.7,0.125,18,reviewed,us,us
2016-11-28T23:05:12.940Z,37.3462,-117.1268,7.1,1.2,ml,5,172.56,0.637,,nn,nn00567938,2016-11-28T23:06:49.214Z,"41km SSE of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2016-11-28T22:22:33.210Z,33.9823333,-118.375,7.75,1.36,ml,6,231,0.01374,0.17,ci,ci37752248,2016-11-28T23:53:37.857Z,"2km S of Baldwin Hills, CA",earthquake,0.84,0.81,0.017,3,reviewed,ci,ci
2016-11-28T22:22:21.070Z,38.8126678,-122.8198318,2.29,1.25,md,17,88,0.008229,0.03,nc,nc72730515,2016-11-28T23:02:02.010Z,"6km NW of The Geysers, California",earthquake,0.23,0.45,0.15,6,automatic,nc,nc
2016-11-28T22:10:49.770Z,49.3546667,-120.4838333,-0.53,2.01,ml,5,277,0.5685,0.4,uw,uw61220357,2016-11-28T23:39:43.440Z,"11km S of Princeton, Canada",explosion,7.56,31.61,0.128,4,reviewed,uw,uw
2016-11-28T21:42:32.660Z,-23.1795,-174.9463,10,5,mb,,128,6.213,1.39,us,us10007czq,2016-11-28T22:18:30.040Z,"204km S of `Ohonua, Tonga",earthquake,11.7,1.8,0.1,32,reviewed,us,us
